,word,ico_english,ico_turkish,ico_indonesian,ico_hungarian,ico_arabic,ico_vietnamese,ico_rating_2022,ico_rating_2017
157,cauliflower,0.23593853,0.22124569,0.25304154,0.23828854,0.21705592,0.27370608,4.363636363636363,0.727272727
158,cauliflower,0.26478526,0.24485517,0.2850419,0.26415157,0.23264077,0.30728588,4.363636363636363,0.727272727
159,cauliflower,0.24285528,0.22364563,0.26686135,0.23984945,0.21252945,0.2826411,4.363636363636363,0.727272727
160,cauliflower,0.27131087,0.2542769,0.28072217,0.2697679,0.24480754,0.30724832,4.363636363636363,0.727272727
161,cauliflower,0.31353918,0.29143813,0.32308128,0.31750047,0.28188953,0.35856327,4.363636363636363,0.727272727
162,cauliflower,0.23376124,0.21825905,0.24955742,0.22483134,0.20168027,0.2668924,4.363636363636363,0.727272727
163,sling,0.21946423,0.19200252,0.22084351,0.21330029,0.22589138,0.19101492,,
164,sling,0.20786369,0.19609392,0.21696672,0.20054263,0.22244829,0.19156672,,
165,sling,0.22500104,0.2034659,0.232443,0.22404276,0.24185055,0.20549622,,
166,sling,0.17009449,0.15721507,0.18987383,0.17967303,0.19366707,0.15130885,,
167,sling,0.26428622,0.24651685,0.2684558,0.259522,0.2711661,0.2318188,,
168,sling,0.2049016,0.180831,0.21517952,0.20660582,0.22777784,0.18362306,,
169,sling,0.2475762,0.24026117,0.25943464,0.25144646,0.26681432,0.23045112,,
170,sling,0.27149358,0.2571982,0.27480796,0.27225885,0.28171882,0.2556602,,
171,sling,0.17825954,0.16621795,0.18954673,0.17607245,0.19623499,0.16291945,,
172,sling,0.22734451,0.21084909,0.24606884,0.23805141,0.24769786,0.20681046,,
173,sling,0.20340797,0.18096691,0.20623378,0.20251596,0.22169708,0.17554662,,
174,sling,0.18251704,0.17261486,0.19322145,0.17766012,0.19351226,0.16199826,,
175,blindfold,0.16533084,0.16304585,0.16745774,0.17138383,0.16513222,0.1608123,3.7,
176,blindfold,0.1557008,0.15658253,0.15958141,0.1554778,0.15706348,0.14945273,3.7,
177,blindfold,0.14935811,0.14923878,0.15062192,0.14779462,0.1500287,0.14315714,3.7,
178,blindfold,0.14194624,0.1305889,0.14639723,0.14525154,0.14687441,0.13107863,3.7,
179,blindfold,0.2393763,0.25155392,0.24623372,0.25057715,0.24607243,0.24486046,3.7,
180,blindfold,0.20288487,0.20568997,0.19900645,0.20102118,0.20648913,0.19448723,3.7,
181,blindfold,0.15286826,0.14781837,0.15490204,0.15948883,0.15222836,0.15157737,3.7,
182,blindfold,0.16260183,0.17074001,0.17429186,0.16710946,0.1662178,0.16925894,3.7,
183,blindfold,0.23634307,0.2278519,0.24530521,0.24400295,0.23355193,0.23613043,3.7,
184,blindfold,0.14632276,0.14471324,0.15316387,0.15225032,0.1467792,0.14330873,3.7,
185,blindfold,0.14297892,0.13968608,0.14969896,0.15377355,0.14471035,0.13617963,3.7,
186,blindfold,0.18234912,0.17205685,0.18791798,0.18485828,0.18232486,0.17625375,3.7,
187,blindfold,0.12863195,0.13243964,0.1392515,0.13547787,0.13282774,0.13401338,3.7,
188,blindfold,0.16836835,0.1626734,0.17114401,0.17158645,0.16894682,0.1554418,3.7,
189,blindfold,0.16368996,0.14761554,0.16357754,0.16488709,0.15756989,0.15260597,3.7,
190,blindfold,0.28987035,0.26177356,0.291143,0.29491732,0.281811,0.27561852,3.7,
191,blindfold,0.19474798,0.20028107,0.20629212,0.20103677,0.20135185,0.19574471,3.7,
192,blindfold,0.27481294,0.26212183,0.27946234,0.27334404,0.25930947,0.26672718,3.7,
193,beet,0.2654484,0.26410174,0.2666624,0.23742929,0.24136679,0.29212573,3.2,
194,beet,0.28297833,0.2717918,0.2710284,0.25687206,0.25645176,0.3051897,3.2,
195,beet,0.28394973,0.27622008,0.28238642,0.25512958,0.25579667,0.3002168,3.2,
196,beet,0.28802782,0.2782301,0.28672597,0.26279798,0.2536789,0.2943694,3.2,
197,beet,0.27856454,0.2652137,0.27115732,0.25388357,0.2531247,0.2811641,3.2,
198,beet,0.2920756,0.2855294,0.29330784,0.27600455,0.26660484,0.31959036,3.2,
199,beet,0.26565462,0.25589308,0.25799072,0.22732362,0.23186408,0.26912257,3.2,
200,beet,0.27176085,0.2624653,0.27011317,0.24083386,0.23930116,0.29922915,3.2,
201,beet,0.21593715,0.21514098,0.22202589,0.19245656,0.20381503,0.22642742,3.2,
202,beet,0.25943145,0.24796632,0.2467418,0.21887472,0.22092384,0.27212206,3.2,
203,beet,0.26433763,0.2431452,0.2620695,0.22907521,0.22120686,0.29014328,3.2,
204,beet,0.23737629,0.23172507,0.23015891,0.20549369,0.20971712,0.24696372,3.2,
205,beet,0.20009327,0.21318386,0.20407653,0.1773637,0.18168356,0.23144114,3.2,
206,beet,0.26286575,0.26083088,0.26416558,0.23838064,0.24203685,0.2873885,3.2,
207,beet,0.23826899,0.22527617,0.23165572,0.19265306,0.1998818,0.27965924,3.2,
208,crown,0.2953228,0.29845482,0.3094297,0.29989922,0.29792103,0.30466554,,0.9
209,crown,0.3133898,0.3231281,0.33201346,0.32479623,0.32358065,0.320432,,0.9
210,crown,0.31485534,0.31684992,0.31450194,0.3228843,0.32545587,0.31021464,,0.9
211,crown,0.31188658,0.32896066,0.3274722,0.33348572,0.33582547,0.320934,,0.9
212,crown,0.27736437,0.29838008,0.2880785,0.29079154,0.2982396,0.28160694,,0.9
